Designator	Mid X	Mid Y	Rotation	Layer
C1	34.8615	-32.9565	0.0	top
C10	75.3745	-35.7505	180.0	top
C11	44.45	-40.0685	0.0	top
C12	85.4075	-40.132	0.0	top
C2	44.577	-32.9565	0.0	top
C3	75.438	-33.274	0.0	top
C4	85.5345	-33.274	0.0	top
C5	44.45	-42.672	180.0	top
C6	34.8615	-42.672	180.0	top
C7	85.471	-42.6085	180.0	top
C8	75.438	-42.6085	180.0	top
C9	34.8615	-35.56	180.0	top
R1	30.861	-35.052	180.0	top
R10	85.5255	-35.56	180.0	top
R11	34.8615	-40.0685	0.0	top
R12	75.438	-40.132	0.0	top
R2	49.911	-35.2425	180.0	top
R3	70.231	-35.3695	180.0	top
R4	89.2646	-35.0012	180.0	top
R5	49.911	-40.386	0.0	top
R6	30.861	-40.259	0.0	top
R7	89.281	-40.7035	0.0	top
R8	70.231	-40.513	0.0	top
R9	44.577	-35.56	180.0	top
U1	39.6875	-33.4105	180.0	top
U2	80.5815	-33.4105	180.0	top
U3	39.6875	-42.2815	0.0	top
U4	80.5815	-42.345	0.0	top
