Designator	Mid X	Mid Y	Rotation	Layer
C1	88.773	-35.306	90.0	top
C10	97.663	-54.737	270.0	top
C11	28.448	-45.9105	180.0	top
C2	91.2495	-35.306	90.0	top
C3	97.5995	-34.8615	270.0	top
C4	100.1395	-34.8615	270.0	top
C5	102.6795	-34.8615	270.0	top
C6	69.088	-33.2105	90.0	top
C7	83.3755	-32.5755	270.0	top
C8	73.279	-33.401	90.0	top
C9	75.7555	-33.401	90.0	top
L1	92.837	-31.115	0.0	top
R1	94.361	-40.132	180.0	top
R2	94.361	-38.0365	0.0	top
R3	80.5815	-29.0195	180.0	top
R4	76.7565	-29.0195	180.0	top
U1	94.361	-34.671	90.0	top
U2	79.629	-32.893	270.0	top
